"id","classification_code","classification_name","classification_group","useful_life_years","is_active","triage_category","recommended_account_code_primary","recommended_account_code_secondary","recommended_action","mapped_account_code","mapper_notes"
"745","","DOJO Hall and Fitness Center (completion/Phase 2)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.010.00","User map: Building"
"813","","Drainage System","","","active","likely_infrastructure","1.06.03.100.00","1.06.10.020.00","Choose Infrastructure (completed) or CIP Infrastructure (in-progress)","1.06.02.990.00","User map: Land & Land Improvement"
"744","","E-Bamboo Production Center w/ Extra Work","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.010.00","User map: Building"
"939","","E-Building","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.020.00","User map: School Building"
"944","","Eng'g. Science Bldg.","","","active","likely_catalog_item","MANUAL-BY-ITEM","","Map directly based on actual item nature","1.06.04.020.00","User map: School Building"
"812","","Entrance of Physical Health Wellness Facility","","","active","likely_catalog_item","MANUAL-BY-ITEM","","Map directly based on actual item nature","1.06.02.990.00","User-confirmed: Land & land improvement"
"902","","Executive House (Cottage)","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.02.990.00","User map: Land & Land Improvement"
"750","","Female Dormitory","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.010.00","User map: Building"
"809","","Fence","","","active","likely_infrastructure","1.06.03.100.00","1.06.10.020.00","Choose Infrastructure (completed) or CIP Infrastructure (in-progress)","1.06.02.990.00","User map: Land & Land Improvement"
"909","","Flagpole","","","active","likely_catalog_item","MANUAL-BY-ITEM","","Map directly based on actual item nature","1.06.04.990.00","User map: Other Structure"
"911","","Grand Stand-UA Field","","","active","likely_catalog_item","MANUAL-BY-ITEM","","Map directly based on actual item nature","1.06.04.990.00","User map: Other Structure"
"951","","HRM & Tourism Lab. Phase III (Hot & Cold Kitchen)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
"739","","HRM & Tourism Lab. Phase-1","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.010.00","User map: Building"
"945","","Integrated ICT Learning Resource Dev't Center -Phase-1","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
