id,batch_id,account_code,item_description,brand,model,serial_no,qty_physical_count,unit_cost,line_total_db,line_total_normalized,remarks
19138,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02044","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02044,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19139,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02046","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02046,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19140,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02057","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02057,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19141,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02186","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02186,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19142,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00924","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00924,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19143,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00891","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00891,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19144,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00908","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00908,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19145,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00878","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00878,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19146,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00805","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00805,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19147,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00470","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00470,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19148,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00930","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00930,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19149,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00911","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00911,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19150,14,1.06.05.020.00,"55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00917","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00917,1,50010.00,50010.00,50010.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
