id,batch_id,account_code,account_name,property_number,classification_name,item_description,brand,model,serial_no,qty_physical_count,qty_property_card,unit_cost,line_total,acquisition_date,office_name
19130,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0004-080,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02252","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02252,1,1,50010.00,50010.00,,CIT
19131,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0005-080,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02191","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02191,1,1,50010.00,50010.00,,CIT
19132,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0006-080,"LED TV","56 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02105","56 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02105,1,1,50010.00,50010.00,,CIT
19133,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0002-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00946","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00946,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19134,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0003-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00138","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00138,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19135,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0004-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00473","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00473,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19136,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0005-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02245","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02245,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19137,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0006-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00951","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00951,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19138,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0007-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02044","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02044,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19139,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0008-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02046","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02046,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19140,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0009-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02057","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02057,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19141,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0010-038,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02186","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02186,1,1,50010.00,50010.00,,"College of Arts and Sciences"
19142,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0003-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00924","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00924,1,1,50010.00,50010.00,,"College of Business Accountancy"
19143,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0004-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00891","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00891,1,1,50010.00,50010.00,,"College of Business Accountancy"
19144,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0005-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00908","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00908,1,1,50010.00,50010.00,,"College of Business Accountancy"
19145,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0006-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00878","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00878,1,1,50010.00,50010.00,,"College of Business Accountancy"
19146,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0007-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00805","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00805,1,1,50010.00,50010.00,,"College of Business Accountancy"
19147,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0008-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00470","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00470,1,1,50010.00,50010.00,,"College of Business Accountancy"
19148,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0009-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00930","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00930,1,1,50010.00,50010.00,,"College of Business Accountancy"
19149,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0010-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00911","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00911,1,1,50010.00,50010.00,,"College of Business Accountancy"
19150,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0011-009,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00917","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00917,1,1,50010.00,50010.00,,"College of Business Accountancy"
